GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
83493,0.81,-0.07,9.46,0.03,-0.02,-0.01,3
83501,0.85,-0.11,9.43,0.03,-0.01,-0.00,3
83510,0.85,-0.08,9.40,0.04,0.00,0.00,3
83519,0.84,-0.13,9.39,0.04,0.01,0.01,3
83528,0.84,-0.12,9.36,0.04,0.01,0.01,3
83536,0.84,-0.11,9.37,0.03,0.00,0.01,3
83545,0.80,-0.10,9.41,0.02,-0.01,0.01,3
83554,0.76,-0.11,9.47,0.01,-0.02,0.00,3
83563,0.76,-0.10,9.53,0.01,-0.03,-0.01,3
83571,0.80,-0.09,9.55,0.01,-0.04,-0.01,3
83580,0.80,-0.10,9.49,0.01,-0.04,-0.02,3
83589,0.79,-0.09,9.42,0.02,-0.03,-0.02,3
83598,0.79,-0.08,9.43,0.03,-0.02,-0.01,3
83606,0.82,-0.08,9.40,0.03,-0.01,-0.01,3
83615,0.82,-0.09,9.37,0.04,-0.00,0.00,3
83624,0.81,-0.11,9.35,0.04,-0.01,0.01,3
83633,0.82,-0.13,9.36,0.03,-0.02,0.01,3
83641,0.85,-0.11,9.39,0.02,-0.03,0.01,3
83650,0.82,-0.09,9.46,0.01,-0.03,0.00,3
83659,0.75,-0.11,9.54,0.01,-0.03,-0.00,3
83668,0.79,-0.09,9.57,0.02,-0.02,-0.00,3
83676,0.77,-0.09,9.52,0.02,-0.02,-0.00,3
83685,0.79,-0.10,9.50,0.03,-0.01,-0.00,3
83693,0.81,-0.10,9.42,0.03,-0.01,-0.00,3
83702,0.81,-0.10,9.34,0.03,-0.01,-0.00,3
83710,0.83,-0.12,9.35,0.03,-0.01,-0.00,3
83718,0.83,-0.13,9.35,0.02,-0.01,-0.00,3
83727,0.81,-0.11,9.38,0.01,-0.01,-0.00,3
83735,0.83,-0.12,9.41,0.01,-0.03,-0.00,3
83743,0.83,-0.11,9.46,0.01,-0.03,-0.00,3
83752,0.83,-0.11,9.47,0.02,-0.03,-0.00,3
83760,0.81,-0.08,9.46,0.02,-0.02,-0.00,4
83786,0.74,-0.07,9.52,0.04,0.02,0.01,4
84078,0.77,-0.09,9.44,0.03,-0.01,0.00,4
84087,0.79,-0.07,9.40,0.03,-0.02,0.00,4
84095,0.80,-0.07,9.39,0.03,-0.03,-0.00,4
84104,0.80,-0.08,9.39,0.02,-0.02,-0.00,4
84113,0.79,-0.11,9.39,0.02,-0.01,0.00,4
84121,0.76,-0.10,9.39,0.02,-0.02,0.00,4
84130,0.77,-0.07,9.45,0.02,-0.03,0.00,4
84140,0.77,-0.08,9.48,0.01,-0.02,-0.00,4
84148,0.78,-0.09,9.46,0.02,-0.02,-0.01,4
84158,0.83,-0.11,9.40,0.02,-0.03,-0.01,4
84166,0.81,-0.13,9.37,0.02,-0.02,-0.01,4
84175,0.79,-0.14,9.36,0.02,-0.03,-0.01,4
84184,0.85,-0.12,9.39,0.02,-0.04,-0.01,4
84193,0.84,-0.10,9.37,0.01,-0.05,-0.01,4
84201,0.80,-0.07,9.40,0.01,-0.04,-0.00,4
84210,0.77,-0.09,9.49,0.01,-0.03,-0.00,4
84218,0.78,-0.11,9.58,0.02,-0.02,0.00,4
84228,0.79,-0.11,9.58,0.03,-0.02,0.00,4
84238,0.77,-0.11,9.49,0.03,-0.02,-0.00,4
84246,0.80,-0.13,9.46,0.03,-0.02,-0.00,4
84255,0.82,-0.13,9.41,0.03,-0.01,-0.00,4
84263,0.82,-0.14,9.38,0.03,-0.00,0.00,4
84273,0.83,-0.14,9.38,0.03,0.00,0.00,4
84282,0.76,-0.11,9.41,0.02,-0.01,0.00,4
84290,0.76,-0.09,9.48,0.02,-0.02,-0.00,4
84298,0.77,-0.06,9.49,0.02,-0.01,-0.00,4
84308,0.80,-0.06,9.45,0.03,-0.01,-0.01,4
84316,0.81,-0.07,9.35,0.03,-0.01,-0.00,4
84325,0.82,-0.10,9.26,0.03,-0.01,-0.00,4
84333,0.86,-0.09,9.29,0.02,-0.02,-0.01,4
84343,0.84,-0.06,9.35,0.01,-0.02,-0.01,4
84351,0.78,-0.05,9.48,0.02,-0.01,-0.00,4
84360,0.76,-0.05,9.60,0.02,-0.01,-0.00,4
84368,0.73,-0.08,9.57,0.03,-0.01,-0.00,4
84378,0.74,-0.13,9.48,0.03,-0.01,0.00,4
84388,0.77,-0.13,9.42,0.03,-0.03,-0.00,4
84396,0.78,-0.14,9.41,0.02,-0.04,-0.00,4
84405,0.78,-0.13,9.45,0.02,-0.03,0.00,4
